#timestamp x y z qx qy qz qw id
1716395184.496761 -0.320906 0.704093 6.162118 0.000531 0.005808 0.852862 0.522104 1
1716395449.027200 -0.386706 0.815820 6.203325 0.000283 0.011498 0.850530 0.525800 262
1716395450.027712 -0.510603 1.101848 6.199672 -0.004090 -0.002553 0.853657 0.520814 263
1716395451.028403 -0.593041 1.325421 6.196605 -0.005591 -0.005893 0.853462 0.521093 264
1716395458.030086 -0.646221 1.273813 6.194828 0.004636 0.012334 0.899478 0.436767 271
1716395459.096063 -0.633992 1.278877 6.197743 0.000235 0.006160 0.941488 0.336991 272
1716395460.162617 -0.591730 1.349186 6.197967 -0.003719 -0.000464 0.973230 0.229802 273
1716395461.228921 -0.623881 1.276654 6.197892 -0.000663 0.008381 0.992117 0.125030 274
1716395471.830952 -0.642489 1.222401 6.198065 -0.002424 0.003670 0.999716 0.023404 284
1716395472.832783 -0.637497 1.342073 6.199511 -0.004452 -0.003846 0.997081 -0.076130 285
1716395473.834014 -0.615473 1.262883 6.198855 -0.003387 0.010074 0.984982 -0.172330 286
1716395474.835307 -0.613245 1.270404 6.201000 -0.003408 0.007583 0.963507 -0.267553 287
1716395475.835853 -0.670645 1.320327 6.200829 -0.002042 -0.001842 0.931584 -0.363516 288
1716395476.836153 -0.587276 1.263716 6.201067 -0.007211 0.007707 0.893389 -0.449161 289
1716395479.970348 -0.624870 1.257623 6.197193 -0.004802 0.005398 0.866657 -0.498853 292
1716395481.037328 -0.560930 1.235225 6.198577 0.003536 -0.002983 -0.821596 0.570052 293
1716395482.037566 -0.670917 1.285156 6.200037 -0.002285 0.006351 -0.747534 0.664190 294
1716395483.171169 -0.644195 1.254487 6.204582 -0.007344 0.005712 -0.650011 0.759868 295
1716395484.171230 -0.575563 1.294856 6.199520 0.003826 -0.001139 -0.551256 0.834327 296
1716395485.171472 -0.666122 1.252239 6.201508 -0.007369 0.007219 -0.447404 0.894273 297
1716395486.171708 -0.611379 1.275038 6.203387 0.004949 0.000457 -0.334979 0.942212 298
1716395487.305268 -0.600014 1.319936 6.201091 0.003370 0.000486 -0.202282 0.979321 299
1716395488.372183 -0.636392 1.236696 6.202903 -0.012194 0.004982 -0.074392 0.997142 300
1716395489.372424 -0.601145 1.261425 6.207218 -0.013893 -0.004655 0.041545 0.999029 301
1716395492.373167 -0.854811 1.320993 6.207804 0.007560 0.002115 0.046292 0.998897 304
1716395493.440096 -1.166014 1.277340 6.213099 0.000593 0.003705 0.047317 0.998873 305
1716395494.440338 -1.419120 1.130808 6.216053 0.001808 0.004288 0.048963 0.998790 306
1716395495.440583 -1.686832 1.196981 6.220054 0.013638 0.003493 0.113669 0.993419 307
1716395496.507514 -1.963356 1.121421 6.227941 0.002557 0.002781 0.164316 0.986400 308
1716395497.507762 -2.185905 0.925192 6.226138 -0.002938 0.000861 0.164715 0.986336 309
1716395498.774751 -2.510126 0.854758 6.239011 -0.010533 -0.001025 0.164422 0.986333 310
1716395499.774988 -2.804521 0.855880 6.238727 -0.002874 0.002594 0.164408 0.986385 311
1716395500.775229 -3.025641 0.648487 6.244602 -0.011448 0.001675 0.166023 0.986054 312
1716395501.775464 -3.285480 0.618975 6.248088 0.002798 0.004043 0.164363 0.986388 313
1716395502.842391 -3.574452 0.577766 6.250513 -0.000787 0.005148 0.228798 0.973460 314
1716395503.842623 -3.736759 0.316873 6.260022 -0.010019 0.003677 0.330394 0.943783 315
1716395505.109593 -3.940529 0.109119 6.263062 -0.004182 0.003604 0.466273 0.884624 316
1716395506.109778 -4.185376 -0.095846 6.271652 0.002902 0.011005 0.575728 0.817562 317
1716395507.242832 -4.188289 -0.406014 6.278792 0.006469 0.012316 0.700893 0.713130 318
1716395508.309423 -4.088945 -0.650234 6.280838 -0.002712 0.004162 0.780354 0.625318 319
1716395509.375931 -4.133425 -0.971018 6.289973 0.004690 0.015236 0.778806 0.627062 320
1716395510.376172 -4.061189 -1.223008 6.298367 0.003843 0.011183 0.792763 0.609415 321
1716395511.643243 -3.868539 -1.519384 6.302939 -0.010367 -0.002768 0.837136 0.546889 322
1716395512.643486 -3.803651 -1.773258 6.310187 -0.002540 0.007631 0.836463 0.547964 323
1716395513.643726 -3.758184 -2.045563 6.316216 -0.004024 0.008302 0.836340 0.548133 324
1716395514.643970 -3.532402 -2.250295 6.321964 -0.008833 0.002556 0.836926 0.547239 325
1716395515.644232 -3.507459 -2.526270 6.326986 0.001882 0.013104 0.835944 0.548656 326
1716395516.910888 -3.451099 -2.803998 6.337201 -0.006213 0.010631 0.797948 0.602600 327
1716395517.977168 -3.406050 -2.740426 6.336396 -0.008656 0.006701 0.706041 0.708086 328
1716395518.977670 -3.382314 -2.724580 6.337463 -0.014028 0.001536 0.587605 0.809025 329
1716395520.178931 -3.459379 -2.697876 6.334873 -0.000590 0.012276 0.423492 0.905817 330
1716395521.246284 -3.536796 -2.800418 6.342074 -0.004166 0.002168 0.267201 0.963629 331
1716395522.313389 -3.717761 -2.973942 6.340279 -0.007795 0.004617 0.200480 0.979656 332
1716395523.313602 -3.938148 -2.966026 6.346024 0.003584 0.007122 0.198568 0.980055 333
1716395524.313849 -4.105910 -3.080642 6.350973 -0.007309 0.002371 0.200158 0.979734 334
1716395525.514138 -4.321650 -3.244050 6.357519 -0.013275 0.003506 0.167630 0.985754 335
